wavelength,1,2,3,4
400,0.354145,0.324614,0.261709,0.302461
405,0.350257,0.316067,0.25919,0.296805
410,0.346079,0.312073,0.257855,0.293184
415,0.342267,0.308994,0.254738,0.291791
420,0.339498,0.307493,0.253997,0.292951
425,0.334571,0.302438,0.250301,0.287278
430,0.331305,0.29849,0.248314,0.284019
435,0.331249,0.301012,0.248848,0.286099
440,0.331866,0.302844,0.248809,0.28944
445,0.328501,0.299191,0.246192,0.287129
450,0.322832,0.293787,0.242793,0.284964
455,0.319837,0.290206,0.240464,0.282784
460,0.317917,0.28987,0.239336,0.283503
465,0.313737,0.28409,0.236088,0.278751
470,0.311432,0.284132,0.235616,0.278693
475,0.310619,0.282444,0.234212,0.279138
480,0.312256,0.284703,0.235357,0.281729
485,0.314014,0.286465,0.236732,0.284854
490,0.312613,0.282917,0.2344,0.279084
495,0.316006,0.284058,0.236502,0.277585
500,0.324163,0.290947,0.241817,0.281488
505,0.334118,0.298995,0.248602,0.285108
510,0.344467,0.307135,0.255806,0.290237
515,0.353318,0.314609,0.26123,0.293364
520,0.361452,0.320699,0.265826,0.297397
525,0.369653,0.327989,0.270271,0.302853
530,0.372161,0.328441,0.270344,0.304079
535,0.373206,0.328278,0.269089,0.303329
540,0.377276,0.331045,0.269439,0.30634
545,0.377164,0.328054,0.266889,0.303608
550,0.379313,0.328571,0.266357,0.301678
555,0.383679,0.331274,0.267315,0.303083
560,0.389016,0.334618,0.269354,0.303626
565,0.395151,0.339171,0.272822,0.30584
570,0.401539,0.342782,0.275719,0.305979
575,0.40865,0.347759,0.280348,0.306338
580,0.414624,0.351869,0.284653,0.306635
585,0.423396,0.358822,0.291374,0.310546
590,0.430063,0.365441,0.298581,0.31585
595,0.435211,0.372193,0.305042,0.320994
600,0.437435,0.375041,0.309119,0.323392
605,0.44073,0.380102,0.313782,0.329595
610,0.442372,0.380946,0.315576,0.330619
615,0.444357,0.383212,0.317414,0.332069
620,0.447794,0.384655,0.319011,0.333851
625,0.453684,0.388865,0.321263,0.336755
630,0.459261,0.391398,0.323455,0.336633
635,0.468114,0.397506,0.32721,0.336588
640,0.478689,0.404979,0.331777,0.336407
645,0.492487,0.414346,0.338624,0.336439
650,0.509051,0.426773,0.347638,0.337194
655,0.527334,0.440607,0.358838,0.338221
660,0.549579,0.457713,0.372615,0.341049
665,0.571138,0.474852,0.387056,0.341858
670,0.597243,0.497848,0.407503,0.346281
675,0.620301,0.519407,0.427189,0.350699
680,0.642079,0.541735,0.448633,0.358488
685,0.660736,0.562497,0.468716,0.363282
690,0.676989,0.582343,0.488217,0.37033
695,0.690951,0.599825,0.506767,0.379209
700,0.70385,0.615217,0.522933,0.387255
705,0.713794,0.626346,0.536229,0.391201
710,0.719274,0.63384,0.54602,0.398954
715,0.720868,0.639558,0.552689,0.408986
720,0.72172,0.641534,0.556895,0.414862
725,0.720344,0.641575,0.559036,0.417123
730,0.715688,0.637618,0.558525,0.417609
735,0.707548,0.631495,0.554896,0.415476
740,0.694301,0.622263,0.548597,0.415887
745,0.677254,0.610473,0.538716,0.41555
750,0.656547,0.595698,0.526001,0.414668
755,0.633572,0.578565,0.510375,0.412224
760,0.608406,0.559348,0.492296,0.408709
765,0.582703,0.538772,0.473701,0.403476
770,0.554242,0.515931,0.452522,0.397765
775,0.52571,0.492488,0.429879,0.391093
780,0.497687,0.469247,0.407693,0.384822
785,0.470319,0.445253,0.384804,0.375823
790,0.443586,0.422209,0.361959,0.367671
795,0.417442,0.399615,0.340053,0.359532
800,0.394353,0.3787,0.319888,0.350542
805,0.370841,0.357145,0.29921,0.341817
810,0.350591,0.33925,0.281021,0.333154
815,0.331854,0.322235,0.263966,0.326506
820,0.314448,0.306019,0.248211,0.318709
825,0.304473,0.297673,0.239374,0.314497
830,0.288185,0.282877,0.22539,0.307353
835,0.273848,0.269192,0.213109,0.300493
840,0.258569,0.255009,0.200713,0.291413
845,0.24495,0.242224,0.190202,0.284161
850,0.233468,0.231679,0.180983,0.276925
855,0.223593,0.222076,0.173142,0.269386
860,0.214372,0.214049,0.166915,0.2657
865,0.207606,0.208579,0.161975,0.262825
870,0.201304,0.203222,0.158586,0.260237
875,0.194651,0.197791,0.154977,0.256974
880,0.190066,0.195302,0.152649,0.253726
885,0.183358,0.189602,0.147685,0.252047
890,0.17283,0.178711,0.140068,0.243728
895,0.168267,0.175996,0.138584,0.241943
900,0.159851,0.166745,0.132414,0.236548
